id,trip_distance,trip_time_in_secs,tip_amount,fare_amount,tip_perc,counter,pickup_zipcode,dropoff_zipcode
10001|11219,10.40333333,1911.666667,5.65,33.33333333,16.60050676,3,10001,11219
10001|11220,10.0775,2209.5,6.0925,34.5,16.15806796,4,10001,11220
10001|11221,7.067142857,1973.214286,2,27,7.865427803,14,10001,11221
10001|11222,5.385277778,1375.305556,2.967916667,20.61111111,14.30460347,72,10001,11222
10001|11223,14.23,2643,7.7075,44.5,17.17544063,4,10001,11223
10001|11224,11.665,2987,1.35,44,10,2,10001,11224
10001|11225,7.858571429,1867.809524,2.780952381,27.69047619,10.67565557,21,10001,11225
10001|11226,9.587333333,2201.666667,3.102,33.5,9.186649431,15,10001,11226
10001|11228,14.1,3196,0,48.75,0,2,10001,11228
10001|11229,13.84,2682.333333,6.716666667,44.66666667,15.26515152,3,10001,11229
10001|11230,11.18,2018.666667,5.516666667,35.66666667,15.68929818,6,10001,11230
10001|11231,6.569107143,1756.946429,3.607857143,24.625,14.55187039,56,10001,11231
10001|11232,7.9925,1407.75,4.5825,25.625,18.31382979,4,10001,11232
10001|11233,7.455,2553.833333,1.291666667,33.58333333,4.234972678,6,10001,11233
10001|11234,12.72625,2836.625,4.775,42.75,12.08053167,8,10001,11234
10001|11235,15.63333333,2271.333333,7.286666667,46.66666667,14.30880231,3,10001,11235
10001|11236,13.66,3783.5,4.75,48.5,10.10638298,2,10001,11236
10001|11237,7.327647059,1802.117647,2.405882353,26.05882353,9.116465983,17,10001,11237
10001|11238,6.604285714,1728.897959,3.862653061,24.55102041,15.74914187,49,10001,11238
10002|10001,2.895045593,910.9118541,1.390729483,12.82370821,10.98071733,329,10002,10001
10002|10002,1.056666667,362.7351598,0.642762557,6.704360731,8.770631819,438,10002,10002
10002|10003,1.146385768,394.7902622,0.813483146,6.716292135,12.04929411,534,10002,10003
10002|10004,2.409538462,602.9846154,0.862923077,10.90769231,7.166833508,65,10002,10004
10002|10005,1.946216216,632.6891892,1.192567568,9.385135135,12.30113496,74,10002,10005
10002|10006,2.747619048,884.5952381,1.687619048,12.35714286,13.72993045,42,10002,10006
10002|10007,1.975093168,655.5341615,1.146956522,9.776397516,11.73346964,161,10002,10007
10002|10009,0.998450292,348.4736842,0.690233918,6.013157895,11.4951115,342,10002,10009
10002|10010,1.815614035,571.1008772,1.072324561,8.743421053,12.25791574,228,10002,10010
10002|10011,2.155215311,683.2033493,1.304210526,10.17942584,12.63951636,418,10002,10011
10002|10012,0.914516129,370.2903226,0.792451613,6.412903226,12.13400436,310,10002,10012
10002|10013,1.248525896,535.1314741,1.054262948,8.137450199,13.17639404,251,10002,10013
10002|10014,1.862112211,633.30033,1.093366337,9.268976898,12.72705788,303,10002,10014
10002|10016,2.195315068,649.5616438,1.14830137,9.945205479,11.53882764,365,10002,10016
10002|10017,2.948903509,744.0219298,1.397324561,12.10087719,11.7088142,228,10002,10017
10002|10018,3.311323529,1099.595588,1.516323529,14.8125,10.43600456,136,10002,10018
10002|10019,4.050520833,1107.145833,1.802135417,16.1796875,11.26572905,192,10002,10019
10002|10020,3.512222222,1370.888889,1.411111111,17,8.643707183,9,10002,10020
10002|10021,4.420434783,860.8043478,1.88673913,15.41847826,11.93640406,92,10002,10021
10002|10022,3.361239316,847.4871795,1.522179487,13.34188034,11.62034561,234,10002,10022
10002|10023,4.887283951,1220.111111,1.912962963,18.32098765,10.10006096,81,10002,10023
10002|10024,5.960740741,1353.574074,2.638703704,21.25925926,12.55651058,54,10002,10024
10002|10025,7.055818182,1390.636364,3.440545455,24.1,14.31610127,55,10002,10025
10002|10026,7.223,1236.2,2.5,23.15,11.35856009,10,10002,10026
10002|10027,8.41,1370.952381,2.694285714,26.5,10.49354435,21,10002,10027
10002|10028,4.978636364,912.7424242,2.140454545,16.77272727,12.64333291,66,10002,10028
