Zip Code,Tip Percentage,count,Population Density (per sq. mile),Median household income,Gini Index Of Income Inequality,Average Commute to Work (in min),Male Rate,White Rate,Higher Education Rate,Unemployment Rate,Renter Occupied Rate,Public Transportation Rate
10451,17.323885319372607,32668,46379.59,26754.0,0.4674,41.0,0.44710956255709705,0.1714079330344813,0.08632008328199027,0.17858031139630898,0.8852758286268472,0.6090313916400872
10460,15.093098168379061,6385,42633.86,22307.0,0.4947,42.0,0.4703302189572784,0.1316061621852935,0.06392197418158478,0.19303953871499174,0.9101317440401504,0.5591030195381883
10469,15.680203375070178,4978,29007.29,57776.0,0.4346,41.0,0.4538507579026488,0.197012930974486,0.1645950196957254,0.17637725134315066,0.5122297544888238,0.3285703906420285
11207,18.24852341869021,16370,34629.88,32945.0,0.4931,45.0,0.4467029224465083,0.14311662756376295,0.07646149355072386,0.15086972844450006,0.7611645454839859,0.5396782710737337
11216,20.078478036373124,143790,57495.47,43996.0,0.4944,41.0,0.4698510681813956,0.1581540635516799,0.2496885633006712,0.11235358529382487,0.7688770147161879,0.6326205247287977
11225,19.84588944952565,72344,66956.75,42922.0,0.4576,43.0,0.4458619174749079,0.17767226521577506,0.1868304552059748,0.1882246883645746,0.8539758396389221,0.6157943892905323
11234,18.171942769756527,9870,12488.83,68431.0,0.4164,42.0,0.4688995215311005,0.4620248464337623,0.2097200267348476,0.10219293730052507,0.32933195786051456,0.2774229161738033
10002,19.329050810605768,1670619,93461.17,33218.0,0.5622,31.0,0.4842622671582047,0.3108004526042997,0.2223844459855702,0.1162639451698434,0.8656789971355531,0.5172897826967202
10011,20.384547442285214,4417915,79233.23,104238.0,0.5801,24.0,0.499146970306899,0.7798608315601817,0.6380278720263768,0.06395634379263301,0.652815969039617,0.5953172295091697
10029,18.888636012277395,835120,93874.63,31888.0,0.5993,33.0,0.472022103442043,0.3506339246520516,0.1984274537144628,0.12893030352569346,0.9343030134316932,0.6593359731952483
10038,18.913445060190057,641777,67481.89,66074.0,0.599,23.0,0.4636988347774126,0.5015436709491087,0.4227666567074992,0.05363984674329502,0.7706422018348624,0.5614535418583256
